연번,읍면,경로당명,경로당 주소,데이터기준일
29,옥천읍,중삼,충청북도 옥천군 옥천읍 삼청2길 240 ,2022-06-15
30,옥천읍,중삼여자,충청북도 옥천군 옥천읍 삼청2길 246-4,2022-06-15
31,옥천읍,태장동,충청북도 옥천군 옥천읍 청풍로 367-64,2022-06-15
32,옥천읍,하삼,충청북도 옥천군 옥천읍 삼청2길 173,2022-06-15
33,옥천읍,소정,충청북도 옥천군 옥천읍 삼청1길 113,2022-06-15
34,옥천읍,중마루,충청북도 옥천군 옥천읍 삼청1길 185-1,2022-06-15
35,옥천읍,대천1,충청북도 옥천군 옥천읍 대천길 68,2022-06-15
36,옥천읍,대천2,충청북도 옥천군 옥천읍 대천길 130,2022-06-15
37,옥천읍,응천,충청북도 옥천군 옥천읍 응천길14-4,2022-06-15
38,옥천읍,마암,충청북도 옥천군 옥천읍 마암로2길 23,2022-06-15
39,옥천읍,마항,충청북도 옥천군 옥천읍 마암로3길 66,2022-06-15
40,옥천읍,마항망기미,충청북도 옥천군 옥천읍 마암로3길 127-29,2022-06-15
41,옥천읍,성암1,"충청북도 옥천군 옥천읍 성신로 29-8, 현대연립 가-113",2022-06-15
42,옥천읍,성암2,충청북도 옥천군 옥천읍 성암3길 12-7,2022-06-15
43,옥천읍,성암3,"충청북도 옥천군 옥천읍 성암1길 30, 현대@",2022-06-15
44,옥천읍,성암4양우,"충청북도 옥천군 옥천읍 마장로 20, 양우내안애@",2022-06-15
45,옥천읍,양수1,충청북도 옥천군 옥천읍 양수로5길 6,2022-06-15
46,옥천읍,양수1여자,충청북도 옥천군 옥천읍 양수로5길 6,2022-06-15
47,옥천읍,양수1리윗수정,충청북도 옥천군 옥천읍 양수로6길 40,2022-06-15
48,옥천읍,양수2,충청북도 옥천군 옥천읍 양수로 49,2022-06-15
49,옥천읍,양수3,"충청북도 옥천군 옥천읍 양수로 25-7, 지엘@",2022-06-15
50,옥천읍,가화1,충청북도 옥천군 옥천읍 가화길 15,2022-06-15
51,옥천읍,가화2,충청북도 옥천군 옥천읍 금장로 13,2022-06-15
52,옥천읍,가화3,"충청북도 옥천군 옥천읍 가화3길18, 현대@",2022-06-15
53,옥천읍,가화4,"충청북도 옥천군 옥천읍 가화3길 8, 다산금빛@",2022-06-15
54,옥천읍,계룡리슈빌,"충청북도 옥천군 옥천읍 가화4길 65, 계룡리슈빌@",2022-06-15
55,옥천읍,금구1,"충청북도 옥천군 옥천읍 삼금로5길 5-14, 공설시장4층",2022-06-15
56,옥천읍,금구2,충청북도 옥천군 옥천읍 중앙로 20-3,2022-06-15
57,옥천읍,금구3,충청북도 옥천군 옥천읍 중앙로1길 25-6,2022-06-15
58,옥천읍,금구4,충청북도 옥천군 옥천읍 대학1길 5-11,2022-06-15
59,옥천읍,금구4리공원,충청북도 옥천군 옥천읍 관성로3길 10,2022-06-15
60,옥천읍,신기1,충청북도 옥천군 옥천읍 신기2길 1,2022-06-15
61,옥천읍,신기2,충청북도 옥천군 옥천읍 신기3길 13-3,2022-06-15
62,옥천읍,상야,충청북도 옥천군 옥천읍 상야1길 4,2022-06-15
63,옥천읍,장천,충청북도 옥천군 옥천읍 옥천동이로 34-3,2022-06-15
64,옥천읍,장야2,"충청북도 옥천군 옥천읍 장야1길 10, 그린@",2022-06-15
65,옥천읍,장야3,"충청북도 옥천군 옥천읍 장야3길 9, 장야주공@ 1단지",2022-06-15
66,옥천읍,장야4,"충청북도 옥천군 옥천읍 장야3길 10, 장야주공@ 2단지",2022-06-15
67,옥천읍,장야6이안,"충청북도 옥천군 옥천읍 장야4길 51, 이안@ 101동",2022-06-15
68,옥천읍,삼양1,충청북도 옥천군 옥천읍 삼양로7길 9-1,2022-06-15
69,옥천읍,삼양2,충청북도 옥천군 옥천읍 삼양로 54 ,2022-06-15
70,옥천읍,삼양3경로당,충청북도 옥천군 옥천읍 삼양로2길 14-3 202호,2022-06-15
71,옥천읍,서정,충청북도 옥천군 옥천읍 서정1길 10 ,2022-06-15
72,옥천읍,서정리아랫말,충청북도 옥천군 옥천읍 서정2길 15 ,2022-06-15
73,옥천읍,옥각,충청북도 옥천군 옥천읍 옥각길 16,2022-06-15
74,옥천읍,각신,충청북도 옥천군 옥천읍 옥각2길 41-3,2022-06-15
75,동이면,상촌,충청북도 옥천군 동이면 평산2길 28,2022-06-15
76,동이면,평촌,충청북도 옥천군 동이면 평산길 41,2022-06-15
77,동이면,소도,충청북도 옥천군 동이면 평산1길 31-1,2022-06-15
78,동이면,용운,충청북도 옥천군 동이면 세산2길 6,2022-06-15
79,동이면,용암,충청북도 옥천군 동이면 세산2길 74,2022-06-15
80,동이면,천수,충청북도 옥천군 동이면 세산3길 52-1,
81,동이면,석화,충청북도 옥천군 동이면 세산4길 11,2022-06-15
82,동이면,석화양지말,충청북도 옥천군 동이면 세산5길 13,2022-06-15
83,동이면,학령1부평,충청북도 옥천군 동이면 옥천동이로 653,2022-06-15
84,동이면,학령1,충청북도 옥천군 동이면 적하1길 13-14,2022-06-15
85,동이면,학령2학사골,충청북도 옥천군 동이면 적하3길 24,2022-06-15
86,동이면,학령2,충청북도 옥천군 동이면 적하2길 39-18,2022-06-15
87,동이면,용죽,충청북도 옥천군 동이면 적하4길 28,2022-06-15
88,동이면,용죽아랫말,충청북도 옥천군 동이면 적하길 151,2022-06-15
89,동이면,압구정,충청북도 옥천군 동이면 금암3길 5-3,2022-06-15
90,동이면,금암2,충청북도 옥천군 동이면 옥천동이로 783,2022-06-15
91,동이면,금암3,충청북도 옥천군 동이면 금암4길 69-14,2022-06-15
92,동이면,용곡(女),충청북도 옥천군 동이면 금암4길 67-3,2022-06-15
93,동이면,봉곡,충청북도 옥천군 동이면 금암6길 135-2,2022-06-15
94,동이면,조령1,충청북도 옥천군 동이면 조령2길 6,2022-06-15
95,동이면,조령2,충청북도 옥천군 동이면 조령1길 4,2022-06-15
96,동이면,마티,충청북도 옥천군 동이면 청마1길 43-3,2022-06-15
97,동이면,가덕,충청북도 옥천군 동이면 청마2길 50-8,2022-06-15
98,동이면,우산1,충청북도 옥천군 동이면 우산로3길 63,2022-06-15
99,동이면,우산2,충청북도 옥천군 동이면 우산로2길 48,2022-06-15
100,동이면,지매,충청북도 옥천군 동이면 우산로1길 153-2,
101,동이면,현동,충청북도 옥천군 동이면 지양2길 90-1,2022-06-15
102,동이면,지장,충청북도 옥천군 동이면 지양1길 113-2,2022-06-15
103,동이면,석탄1,충청북도 옥천군 동이면 안터1길 14,2022-06-15
104,동이면,석탄2,충청북도 옥천군 동이면 선사로 309,2022-06-15
105,동이면,남곡,충청북도 옥천군 동이면 선사로 83,2022-06-15
106,동이면,목사,충청북도 옥천군 동이면 남곡3길 17,2022-06-15
107,안남면,연주,충청북도 옥천군 안남면 연주2길 9,2022-06-15
108,안남면,독락정,충청북도 옥천군 안남면 연주길 150,2022-06-15
109,안남면,중촌,충청북도 옥천군 안남면 연주길 70,2022-06-15
110,안남면,미산,충청북도 옥천군 안남면 종미3길 106,2022-06-15
111,안남면,종배,충청북도 옥천군 안남면 종미1길 41,2022-06-15
112,안남면,진벌,충청북도 옥천군 안남면 지수1길 212-1,2022-06-15
113,안남면,모산,충청북도 옥천군 안남면 지수2길 6,2022-06-15
114,안남면,지수2(수동),충청북도 옥천군 안남면 안남로 919,2022-06-15
115,안남면,잔다리(세교),충청북도 옥천군 안남면 지수3길 26,2022-06-15
116,안남면,서당골,충청북도 옥천군 안남면 도덕2길 64,2022-06-15
117,안남면,하서당,충청북도 옥천군 안남면 도덕2길 15-3,2022-06-15
118,안남면,도근,충청북도 옥천군 안남면 도덕3길 1-2,2022-06-15
119,안남면,덕실,충청북도 옥천군 안남면 도덕1길 85,2022-06-15
120,안남면,심청,충청북도 옥천군 안남면 청정1길 27-7,2022-06-15
121,안남면,청정,충청북도 옥천군 안남면 청정2길 3,2022-06-15
122,안남면,상송점촌,충청북도 옥천군 안남면 청정3길 29-8,2022-06-15
