시도코드,시도명,시군구코드,시군구명,읍면동코드,읍면동명,연도,과거대비인구변화,최근인구변화,과거대비사업체변화,최근사업체변화,노후건축물비율
48,경상남도,48310,경상남도 거제시,3809031,일운면,2013,-48.37732238,1,7.307692308,0,59.25925926
48,경상남도,48310,경상남도 거제시,3809032,동부면,2013,-75.22257552,2,7.023411371,1,60.21416804
48,경상남도,48310,경상남도 거제시,3809033,남부면,2013,-62.16283716,2,3.333333333,1,52.76785714
48,경상남도,48310,경상남도 거제시,3809034,거제면,2013,-45.92105263,1,-4.266666667,1,63.7553041
48,경상남도,48310,경상남도 거제시,3809035,둔덕면,2013,-53.73270488,2,-25.61983471,3,57.4941452
48,경상남도,48310,경상남도 거제시,3809036,사등면,2013,-30.58792137,1,10.81677704,1,42.69503546
48,경상남도,48310,경상남도 거제시,3809037,연초면,2013,-22.30625356,0,7.272727273,0,40.11774601
48,경상남도,48310,경상남도 거제시,3809038,하청면,2013,-47.61847341,1,-3.720930233,1,59.22532278
48,경상남도,48310,경상남도 거제시,3809039,장목면,2013,-63.97526053,4,10.25641026,3,62.41887906
48,경상남도,48310,경상남도 거제시,3809051,장승포동,2013,-92.6449449,3,1.686746988,1,67.87439614
48,경상남도,48310,경상남도 거제시,3809052,마전동,2013,4.391371341,2,-13.49693252,2,61.23076923
48,경상남도,48310,경상남도 거제시,3809053,능포동,2013,-3.700354209,2,-3.345070423,2,69.47791165
48,경상남도,48310,경상남도 거제시,3809054,아주동,2013,50.56518463,0,14.50381679,0,32.58785942
48,경상남도,48310,경상남도 거제시,3809055,옥포1동,2013,2.894356006,4,-2.367424242,1,46.01769912
48,경상남도,48310,경상남도 거제시,3809056,옥포2동,2013,-3.11989657,2,0.753579503,2,42.42596811
48,경상남도,48310,경상남도 거제시,3809058,고현동,2013,,2,3.52472996,0,37.79461279
48,경상남도,48310,경상남도 거제시,3809059,상문동,2013,,1,7.06401766,0,27.65363128
48,경상남도,48310,경상남도 거제시,3809060,수양동,2013,,0,4.761904762,0,29.02654867
48,경상남도,48330,경상남도 양산시,3810012,물금읍,2013,42.24904912,0,10.99270892,0,36.64674426
48,경상남도,48330,경상남도 양산시,3810031,동면,2013,-10.94758585,2,11.36363636,0,42.48452697
48,경상남도,48330,경상남도 양산시,3810032,원동면,2013,-53.67930591,4,0.604229607,2,43.58369821
42,강원도,42820,강원도 고성군,3240011,간성읍,2013,-47.97995615,1,-11.16138763,1,49.92798848
42,강원도,42820,강원도 고성군,3240012,거진읍,2013,-61.09351242,5,-20.78239609,4,66.30541872
42,강원도,42820,강원도 고성군,3240031,현내면,2013,-60.72617247,5,-17.50972763,2,63.0859375
42,강원도,42820,강원도 고성군,3240032,죽왕면,2013,-50.06387509,1,1.871657754,2,47.54924416
42,강원도,42820,강원도 고성군,3240033,토성면,2013,-27.65122511,1,-9.294871795,2,42.53959433
