번호,용도,단지명,소재지,법정동,동수,층수,세대수,데이터기준일
135,다세대주택,"햇살마을 가, 나동",충청북도 옥천군 옥천읍 문장로3길 14 ,옥천읍,2,5,16,2022-09-16
136,다세대주택,"햇살마을 1, 2동",충청북도 옥천군 옥천읍 문장로3길 10 ,옥천읍,2,5,16,2022-09-16
137,다세대주택,비원하이츠,충청북도 옥천군 옥천읍 가화2길 6-10 ,옥천읍,1,5,8,2022-09-16
138,다세대주택,"햇살마을 B, C동",충청북도 옥천군 옥천읍 문장로3길 14-1 ,옥천읍,2,5,16,2022-09-16
139,다세대주택,스마일비 2동,충청북도 옥천군 옥천읍 문장로3길 16-1 ,옥천읍,1,5,4,2022-09-16
140,다세대주택,우진초원빌,충청북도 옥천군 옥천읍 문장로1길 16-3 ,옥천읍,1,5,8,2022-09-16
141,다세대주택,아썸주택 1동,충청북도 옥천군 옥천읍 문장로1길 17-4 ,옥천읍,1,5,8,2022-09-16
142,다세대주택,"오크힐 1, 2동",충청북도 옥천군 옥천읍 송신길 184 ,옥천읍,2,4,6,2022-09-16
143,다세대주택,다세대주택 1동,충청북도 옥천군 군서면 은행2길 2-19,군서면,1,2,2,2022-09-16
144,다세대주택,해피타운 1동,충청북도 옥천군 군북면 증약길 191-17 ,군북면,1,3,6,2022-09-16
145,다세대주택,해피타운 2동,충청북도 옥천군 군북면 증약길 191-15 ,군북면,1,3,3,2022-09-16
146,아파트,한울드림아파트,충청북도 옥천군 옥천읍 향수1길 28 ,옥천읍,1,7,19,2022-09-16
147,아파트,비원센트럴뷰,충청북도 옥천군 옥천읍 중앙로11길 6-4 ,옥천읍,1,10,18,2022-09-16
148,아파트,리더스빌,충청북도 옥천군 옥천읍 삼양로 71 ,옥천읍,1,10,18,2022-09-16
149,아파트,한울2차아파트,충청북도 옥천군 옥천읍 양수1길 32 ,옥천읍,1,8,19,2022-09-16
150,다세대주택,가현하우스빌,충청북도 옥천군 옥천읍 중앙로2길 5 ,옥천읍,1,5,8,2022-09-16
151,다세대주택,"해오름빌 가, 나동",충청북도 옥천군 옥천읍 가화길 35 ,옥천읍,2,5,16,2022-09-16
152,다세대주택,"다세대주택 1, 2동",충청북도 옥천군 옥천읍 성왕로 1265-13 ,옥천읍,2,3,4,2022-09-16
153,다세대주택,"명가타운 1, 2동",충청북도 옥천군 옥천읍 문장로1길 21 ,옥천읍,2,5,16,2022-09-16
154,다세대주택,오투빌 1동,충청북도 옥천군 옥천읍 금장로 110-19 ,옥천읍,1,3,3,2022-09-16
155,다세대주택,"오크힐 3, 4동",충청북도 옥천군 옥천읍 송신길 184 ,옥천읍,2,4,6,2022-09-16
156,다세대주택,"오크힐 5, 6, 7동",충청북도 옥천군 옥천읍 송신길 184 ,옥천읍,3,4,9,2022-09-16
157,다세대주택,힐링하우스 A동,충청북도 옥천군 옥천읍 가화2길 19 ,옥천읍,1,5,8,2022-09-16
158,다세대주택,힐링하우스 B동,충청북도 옥천군 옥천읍 가화2길 17 ,옥천읍,1,5,7,2022-09-16
159,다세대주택,호성빌라,충청북도 옥천군 옥천읍 가화1길 22-1 ,옥천읍,1,5,8,2022-09-16
160,다세대주택,"선진하이빌 A, B, C동",충청북도 옥천군 옥천읍 삼양로4길 2 ,옥천읍,3,5,24,2022-09-16
161,다세대주택,노블레스빌,충청북도 옥천군 옥천읍 문장로3길 15-1 ,옥천읍,1,5,8,2022-09-16
162,다세대주택,노블레스빌 2동,충청북도 옥천군 옥천읍 문장로3길 15-2 ,옥천읍,1,5,8,2022-09-16
163,다세대주택,"아썸2차 A, B동",충청북도 옥천군 옥천읍 문장로1길 19-2 ,옥천읍,2,5,16,2022-09-16
164,다세대주택,"오션빌 A, B동",충청북도 옥천군 옥천읍 옥천동이로 21-8 ,옥천읍,2,5,12,2022-09-16
165,아파트,꿈엔들,충청북도 옥천군 옥천읍 가화4길 39 ,옥천읍,1,11,19,2022-09-16
166,아파트,예담마을아파트A,충청북도 옥천군 옥천읍 성암3길 24-1 ,옥천읍,1,10,26,2022-09-16
167,다세대주택,숲타운하우스,충청북도 옥천군 옥천읍 가화4길 46-22,옥천읍,1,2,10,2022-09-16
168,아파트,예담마을아파트B,충청북도 옥천군 옥천읍 성암3길 24-3 ,옥천읍,1,10,19,2022-09-16
169,아파트,행복마을아파트A,충청북도 옥천군 이원면 신흥4길 30-8,옥천읍,1,7,18,2022-09-16
170,아파트,행복마을아파트B,충청북도 옥천군 이원면 신흥5길 21-17,옥천읍,1,7,18,2022-09-16
171,아파트, 옥천 양우내안애아파트  ,충청북도 옥천군 옥천읍 마장로 20,옥천읍,4,20,280,2022-09-16
172,아파트, 옥천 지엘리베라움 ,충청북도 옥천군 옥천읍 양수로 25-7,옥천읍,5,20,446,2022-09-16
173,아파트,예담마을아파트C,충청북도 옥천군 옥천읍 성암3길 24-1 ,옥천읍,1,10,18,2022-09-16
174,연립주택,청산 지전리 연립,충북 옥천군 청산면 청산로 109,청산면,1,4,20,2022-09-16
175,다세대주택,청산 교평리 다세대,충북 옥천군 청산면 청산로 9-2,청산면,3,15,24,2022-09-16
176,다세대주택,삼양리 다세대,충북 옥천군 옥천읍 삼양로2길 5,옥천읍,3,5,8,2022-09-16
177,아파트,더퍼스트 이안아파트,충북 옥천군 옥천읍 장야4길 51,옥천읍,4,20,325,2022-09-16
178,아파트,계룡리슈빌 아파트,충북 옥천군 옥천읍 가화4길 65,옥천읍,4,20,284,2022-09-16
179,아파트,태원아파트 A동,충북 옥천군 옥천읍 성암응천길 17,옥천읍,1,9,27,2022-09-16
