연번,읍면,경로당명,경로당 주소,Latitude,Longitude,데이터기준일
47,옥천읍,양수1리윗수정,충청북도 옥천군 옥천읍 양수로6길 40,36.2937211,127.554526,2022-06-15
48,옥천읍,양수2,충청북도 옥천군 옥천읍 양수로 49,36.2993357,127.560275,2022-06-15
49,옥천읍,양수3,"충청북도 옥천군 옥천읍 양수로 25-7, 지엘@",36.3004259,127.5633332,2022-06-15
50,옥천읍,가화1,충청북도 옥천군 옥천읍 가화길 15,36.3022946,127.5632528,2022-06-15
51,옥천읍,가화2,충청북도 옥천군 옥천읍 금장로 13,36.3024177,127.5655827,2022-06-15
52,옥천읍,가화3,"충청북도 옥천군 옥천읍 가화3길18, 현대@",36.3042224,127.5610002,2022-06-15
53,옥천읍,가화4,"충청북도 옥천군 옥천읍 가화3길 8, 다산금빛@",36.304107,127.5625877,2022-06-15
54,옥천읍,계룡리슈빌,"충청북도 옥천군 옥천읍 가화4길 65, 계룡리슈빌@",36.3020504,127.5614599,2022-06-15
55,옥천읍,금구1,"충청북도 옥천군 옥천읍 삼금로5길 5-14, 공설시장4층",36.3024645,127.5679322,2022-06-15
56,옥천읍,금구2,충청북도 옥천군 옥천읍 중앙로 20-3,36.2994041,127.5682568,2022-06-15
57,옥천읍,금구3,충청북도 옥천군 옥천읍 중앙로1길 25-6,36.2964367,127.5674212,2022-06-15
58,옥천읍,금구4,충청북도 옥천군 옥천읍 대학1길 5-11,36.2999833,127.5739836,2022-06-15
59,옥천읍,금구4리공원,충청북도 옥천군 옥천읍 관성로3길 10,36.3011718,127.5719779,2022-06-15
60,옥천읍,신기1,충청북도 옥천군 옥천읍 신기2길 1,36.2975603,127.5714004,2022-06-15
61,옥천읍,신기2,충청북도 옥천군 옥천읍 신기3길 13-3,36.2983476,127.5700717,2022-06-15
62,옥천읍,상야,충청북도 옥천군 옥천읍 상야1길 4,36.2940534,127.584984,2022-06-15
63,옥천읍,장천,충청북도 옥천군 옥천읍 옥천동이로 34-3,36.2990068,127.5794944,2022-06-15
64,옥천읍,장야2,"충청북도 옥천군 옥천읍 장야1길 10, 그린@",36.2989145,127.5774308,2022-06-15
65,옥천읍,장야3,"충청북도 옥천군 옥천읍 장야3길 9, 장야주공@ 1단지",36.2962924,127.5775584,2022-06-15
66,옥천읍,장야4,"충청북도 옥천군 옥천읍 장야3길 10, 장야주공@ 2단지",36.2950199,127.5778709,2022-06-15
67,옥천읍,장야6이안,"충청북도 옥천군 옥천읍 장야4길 51, 이안@ 101동",36.2948393,127.5801413,2022-06-15
68,옥천읍,삼양1,충청북도 옥천군 옥천읍 삼양로7길 9-1,36.3033835,127.5678755,2022-06-15
69,옥천읍,삼양2,충청북도 옥천군 옥천읍 삼양로 54,36.3058144,127.5669199,2022-06-15
70,옥천읍,삼양3경로당,충청북도 옥천군 옥천읍 삼양로2길 14-3 202호,36.3090463,127.5645076,2022-06-15
71,옥천읍,서정,충청북도 옥천군 옥천읍 서정1길 10,36.3126101,127.5555611,2022-06-15
72,옥천읍,서정리아랫말,충청북도 옥천군 옥천읍 서정2길 15,36.3138646,127.5569846,2022-06-15
73,옥천읍,옥각,충청북도 옥천군 옥천읍 옥각길 16,36.3202552,127.5562942,2022-06-15
74,옥천읍,각신,충청북도 옥천군 옥천읍 옥각2길 41-3,36.3270151,127.5595209,2022-06-15
75,동이면,상촌,충청북도 옥천군 동이면 평산2길 28,36.2849304,127.6142565,2022-06-15
76,동이면,평촌,충청북도 옥천군 동이면 평산길 41,36.2831507,127.6166161,2022-06-15
77,동이면,소도,충청북도 옥천군 동이면 평산1길 31-1,36.2884627,127.6176093,2022-06-15
78,동이면,용운,충청북도 옥천군 동이면 세산2길 6,36.2712847,127.6048546,2022-06-15
79,동이면,용암,충청북도 옥천군 동이면 세산2길 74,36.2657063,127.6057599,2022-06-15
80,동이면,천수,충청북도 옥천군 동이면 세산3길 52-1,36.2753964,127.6027798,
81,동이면,석화,충청북도 옥천군 동이면 세산4길 11,36.2703781,127.6146312,2022-06-15
82,동이면,석화양지말,충청북도 옥천군 동이면 세산5길 13,36.2719887,127.6156306,2022-06-15
83,동이면,학령1부평,충청북도 옥천군 동이면 옥천동이로 653,36.2777787,127.6292545,2022-06-15
84,동이면,학령1,충청북도 옥천군 동이면 적하1길 13-14,36.2798603,127.6283401,2022-06-15
85,동이면,학령2학사골,충청북도 옥천군 동이면 적하3길 24,36.2778417,127.636025,2022-06-15
86,동이면,학령2,충청북도 옥천군 동이면 적하2길 39-18,36.2726124,127.634951,2022-06-15
